[00:41:01] [Dziekan] Uczelnia otwarta. Miejsc: 1500. Przewidywana liczba kandydatow: 15000.
[00:41:01] [Dziekan] Komisja A (PID: 345518) i komisja B (PID: 345519) rozpoczynaja prace.
[00:41:08] 
 [Dziekan] KONIEC EGZAMINU. OBLICZANIE RANKINGU I PUBLIKACJA WYNIKOW

=================================================================================
| NR   | PID        | MATURA   | KOM A    | KOM B    | SUMA  | STATUS                   |
=================================================================================
| 1    | 345531     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 2    | 345554     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 3    | 345555     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 4    | 345556     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 5    | 345557     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 6    | 345558     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 7    | 345559     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 8    | 345560     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 9    | 345561     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 10   | 345562     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 11   | 345563     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 12   | 345564     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 13   | 345565     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 14   | 345566     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 15   | 345567     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 16   | 345568     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 17   | 345569     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 18   | 345570     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 19   | 345571     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 20   | 345572     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 21   | 345573     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 22   | 345574     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 23   | 345575     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 24   | 345576     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 25   | 345577     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 26   | 345578     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 27   | 345579     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 28   | 345580     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 29   | 345581     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 30   | 345582     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 31   | 345583     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 32   | 345584     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 33   | 345585     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 34   | 345586     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 35   | 345587     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 36   | 345588     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 37   | 345589     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 38   | 345590     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 39   | 345591     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 40   | 345592     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 41   | 345593     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 42   | 345594     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 43   | 345595     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 44   | 345596     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 45   | 345597     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 46   | 345598     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 47   | 345599     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 48   | 345600     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 49   | 345601     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 50   | 345602     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 51   | 345603     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 52   | 345604     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 53   | 345605     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 54   | 345606     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
| 55   | 345607     | ---      | ---      | ---      | 0     | PRZERWANY - EWAKUACJA    |
